,Title,Published_date,Views,Likes,Comments,Month
0,1/15 Putnam Postgame Report: Bounce Back Win,2022-01-16,719,62,0,Jan
1,1/14 Putnam Postgame Report: First-Quarter Mishaps,2022-01-15,606,32,9,Jan
2,1/12 Putnam Postgame Report: Complimenting Each Other,2022-01-13,1370,93,9,Jan
3,1/10 Putnam Postgame Report: ‘I’m a Big Rob Fan’,2022-01-11,931,58,0,Jan
4,1/8 Putnam Postgame Report: Mr. Triple-Double,2022-01-09,1230,64,12,Jan
5,1/6 Putnam Postgame Report: ‘Finding Our Grit’,2022-01-07,644,30,30,Jan
6,1/5 Putnam Postgame Report: ‘We Became Stagnant’,2022-01-06,519,25,0,Jan
7,1/2 Putnam Postgame Report: Brown’s Career Night,2022-01-03,1332,96,10,Jan
8,12/31 Putnam Postgame Report: Triple-Double Performance,2022-01-01,1372,86,11,Jan
9,12/29 Putnam Postgame Report: 3-Point Struggles,2021-12-30,581,27,22,Dec
10,12/27 Putnam Postgame Report: Second-Half Breakdown,2021-12-28,495,28,0,Dec
11,12/25 Putnam Postgame Report: Bucks Top Celtics,2021-12-26,762,40,0,Dec
12,12/22 Putnam Postgame Report: Welcome Back Joe,2021-12-23,2010,87,9,Dec
13,12/20 Putnam Postgame Report: Celtics Fall Short,2021-12-21,542,19,6,Dec
14,12/18 Putnam Postgame Report: Spark from Richardson,2021-12-19,1133,69,9,Dec
15,12/17 Putnam Postgame Report: Tale of Two Halves,2021-12-18,533,34,0,Dec
16,Bringing New Skills To The Table | Lucky Rooks: Coaches Edition | Episode 2,2021-12-16,846,34,9,Dec
17,Overcoming Injuries and Maintaining A Positive Outlook | Jabari Parker | The Grind,2021-12-15,1536,75,8,Dec
18,12/13 Putnam Postgame Report: Grateful to be Back,2021-12-14,1122,79,6,Dec
19,12/1 Putnam Postgame Report: Holding Off Philly,2021-12-02,1475,76,0,Dec
20,11/28 Putnam Postgame Report: Our Ability to Respond,2021-11-29,1195,72,10,Nov
21,11/26 Putnam Postgame Report: Responding with Urgency,2021-11-27,1313,40,18,Nov
22,11/24 Putnam Postgame Report: Offense Affects Defense,2021-11-25,714,34,7,Nov
23,About The Sun Life Dunk 4 Diabetes Program | How Health Habits Makes An Impact,2021-11-23,286,15,0,Nov
24,11/22 Putnam Postgame Report: Full of Reserves,2021-11-23,1310,75,0,Nov
25,11/20 Putnam Postgame Report: No Falling for the Trap,2021-11-21,1352,91,8,Nov
26,11/19 Putnam Postgame Report: Dominating the Lakers,2021-11-20,5008,107,0,Nov
27,11/17 Putnam Postgame Report: Tatum Finds a Rhythm,2021-11-18,1322,57,9,Nov
28,Sun Life | Dunk 4 Diabetes,2021-11-16,723,35,0,Nov
29,11/15 Putnam Postgame Report: Responding against Cleveland,2021-11-16,1158,72,12,Nov
30,11/13 Putnam Postgame Report: Cleveland’s Comeback,2021-11-14,1102,43,18,Nov
31,11/12 Putnam Postgame Report: Schroder Ignites Offense,2021-11-13,2011,93,10,Nov
32,2021-22 Celtics City Edition Uniforms | Connecting Generations of Celtics Fans,2021-11-12,1999,102,16,Nov
33,Inside Hiring Ime Udoka & Forming A New Coaching Staff | Lucky Rooks: Coaches Edition Episode 1,2021-11-11,3338,122,17,Nov
34,11/10 Putnam Postgame Report: Williams’ Impact On the Glass,2021-11-11,1250,70,11,Nov
35,11/6 Putnam Postgame Report: Second-Half Surge,2021-11-07,1099,43,0,Nov
36,11/4 Putnam Postgame Report: Back-to-Back Wins,2021-11-05,1445,89,0,Nov
37,11/3 Putnam Postgame Report: Finishing Strong,2021-11-04,1084,68,0,Nov
38,11/1 Putnam Postgame Report: ‘We Didn’t Respond’,2021-11-02,986,38,30,Nov
39,#SunLifeDunk4Diabetes 2021,2021-11-01,804,51,0,Nov
40,10/30 Putnam Postgame Report: Battling Until The End,2021-10-31,842,37,21,Oct
41,10/27 Putnam Postgame Report: Build the Focus,2021-10-28,1095,50,14,Oct
42,10/25 Putnam Postgame Report: Smart Steals The Game,2021-10-26,1849,102,17,Oct
43,10/24 Putnam Postgame Report: Responding with Effort,2021-10-25,1714,89,6,Oct
44,10/22 Putnam Postgame Report: Horford’s Return,2021-10-23,953,47,21,Oct
45,10/20 Putnam Postgame Report: Brown’s Return,2021-10-21,1263,74,6,Oct
46,Don't Count Us Out | 2021-22 Celtics Season Starts Now,2021-10-20,3194,294,32,Oct
47,10/15 Putnam Postgame Report:  Preseason Takeaways,2021-10-16,793,46,2,Oct
48,10/13 Putnam Postgame Report: Nesmith’s Forward Progress,2021-10-14,1000,51,5,Oct
49,10/9 Putnam Postgame Report: Confidence Increasing,2021-10-10,1256,70,0,Oct
50,The Playbook Initiative presented by New Balance: More Than a Statistic,2021-10-05,460,21,0,Oct
51,10/4 Putnam Postgame Report: Staying Ready,2021-10-05,1679,87,3,Oct
52,The Statistics Behind The Playbook Initiative presented by New Balance,2021-09-29,866,33,0,Sep
53,Josh Richardson On Adjusting To A New TeamFull Interview | 2021 Celtics Media Day,2021-09-29,954,38,18,Sep
54,"""I Was Raised Here"" | Marcus Smart Full Interview | 2021 Celtics Media Day",2021-09-28,4735,194,27,Sep
55,Grant Williams Full 2021 Celtics Media Day Interview,2021-09-28,1239,46,16,Sep
56,Al Horford is Back in Boston | Full 2021 Celtics Media Day Interview,2021-09-28,7267,243,37,Sep
57,Payton Pritchard Looks Forward To His Second Season After A Strong Summer | 2021 Celtics Media Day,2021-09-28,2562,118,8,Sep
58,Dennis Schroder on His Decision to Come to Boston |2021 Celtics Media Day,2021-09-28,27243,716,53,Sep
59,My Story Matters | The Playbook Initiative presented by New Balance,2021-09-21,618,29,0,Sep
60,Paul Pierce Enshrinement Speech | Naismith Memorial Basketball Hall of Fame | Class of 2021,2021-09-12,15647,366,38,Sep
61,Paul Pierce Gets Enshrined Into The Naismith Memorial Basketball Hall of Fame | Class of 2021,2021-09-12,1922,130,22,Sep
62,Bill Russell Enters the Naismith Memorial Basketball Hall of Fame As A Coach | Class of 2021,2021-09-12,1594,117,18,Sep
63,A Day in the Life of Payton Pritchard: Summer League Edition,2021-09-08,4813,175,22,Sep
64,Breaking Down the 2021-22 Celtics Schedule presented by JetBlue,2021-08-21,1782,59,6,Aug
65,2021-22 Celtics Schedule Release | 75 Years Of Celtics,2021-08-20,3872,157,20,Aug
66,8/17 Putnam Postgame Report: Mazzulla Says Summer C’s ‘Made it Easy’,2021-08-18,1248,42,16,Aug
67,8/16 New Balance Practice Report: Show What You Have to Offer,2021-08-16,1111,59,22,Aug
68,8/14 Putnam Postgame Report: ‘I’m Proud Of Him’,2021-08-15,2549,112,18,Aug
69,8/13 New Balance Practice Report: Playing Free Playing Well,2021-08-13,853,45,7,Aug
70,Aaron Nesmith On This Summer League Celtics Team: ‘We Are One Of The Most Connected Teams’,2021-08-13,1458,57,7,Aug
71,8/12 Putnam Postgame Report: Undefeated In Summer League Play,2021-08-13,2346,120,10,Aug
72,8/10 Putnam Postgame Report: Making Each Other Better,2021-08-11,1918,104,11,Aug
73,8/8 Putnam Postgame Report: A Dream Come True,2021-08-08,6748,219,30,Aug
74,2021 NBA Draft Recap,2021-07-30,3260,146,25,Jul
75,Austin Ainge Discusses The Celtics' Approach to the 2021 NBA Draft,2021-07-28,5319,91,90,Jul
76,Celtics Surprise Black-Owned Small Business Owners | Power Forward Small Business Grant,2021-06-30,4449,174,32,Jun
77,Ime Udoka Sits Down To Discuss His New Role As Celtics Head Coach,2021-06-29,39447,950,167,Jun
78,Ime Udoka is Officially Introduced as the 18th Head Coach of The Boston Celtics,2021-06-28,12376,415,84,Jun
79,Jaylen Brown Breaks Down His Approach To Transition Offense | TD Bank Film Study,2021-06-25,4980,257,20,Jun
80,Al Horford Discusses His Return to Boston,2021-06-24,15447,486,84,Jun
81,Brad Stevens Discusses His First Move As Celtics President of Basketball Operations,2021-06-21,16062,373,67,Jun
82,Brad Stevens Speaks to the Media on the Recent Trade Between the Boston Celtics and OKC Thunder,2021-06-21,6336,182,47,Jun
83,Huddle Up with Darien | Understanding Juneteenth As Told By Darien,2021-06-19,485,35,7,Jun
84,Amanda's Top 3 Moments Looking Back on The 2020-21 Season,2021-06-17,1657,102,10,Jun
85,TD Bank Film Study: Tacko Fall on Staying Consistent,2021-06-13,1386,76,14,Jun
86,Brad Stevens Shares His Thoughts On His New Position As President of Basketball Operations,2021-06-03,4951,186,22,Jun
87,Danny Ainge Shares His Thoughts After Announcing His Retirement From the Celtics,2021-06-02,3374,137,32,Jun
88,"Danny Ainge, Brad Stevens, Wyc Grousbeck and Steve Pagliuca Press Conference",2021-06-02,3625,103,47,Jun
89,Danny Ainge Tribute,2021-06-02,3102,261,59,Jun
90,6/1 Putnam Postgame Report: Reflecting on the Season,2021-06-02,828,42,11,Jun
91,Exit Interview 2021 - Tristan Thompson,2021-06-02,979,32,18,Jun
92,Exit Interview 2021 - Jayson Tatum,2021-06-02,4606,185,23,Jun
93,Exit Interview 2021 - Marcus Smart,2021-06-02,1416,46,22,Jun
94,Exit Interview 2021 - Evan Fournier,2021-06-02,2941,45,2,Jun
95,Exit Interview 2021 - Kemba Walker,2021-06-02,3041,86,53,Jun
96,Exit Interview 2021 - Brad Stevens,2021-06-02,1024,49,14,Jun
97,Sports Inclusion Panel,2021-06-01,375,29,12,Jun
98,5/30 Putnam Postgame Report: ‘Keeping Our Fight Alive’,2021-05-31,1144,57,11,May
99,5/28 Putnam Postgame Report: Tatum Drops 50,2021-05-29,2163,159,15,May
100,Jaylen Brown Addresses the Media Prior to Game 3 of Boston Celtics vs Brooklyn Nets,2021-05-28,2642,162,49,May
101,5/27 New Balance Practice Report: ‘Attack First Mentality’,2021-05-28,1955,95,19,May
102,Game 2 Putnam Postgame Report: Heading Home,2021-05-26,1108,55,17,May
103,5/23 Putnam Postgame Report: Celtics’ Competitiveness,2021-05-23,1405,72,21,May
104,Celtics Players Share Who They Were Once Mistaken For | Wingin' It with JetBlue,2021-05-21,7889,342,31,May
105,May 2021 Highlights | Celtics Mixtape presented by JBL,2021-05-20,950,88,7,May
106,"From the Cutting Room Floor with Jaylen Brown, Aaron Nesmith and Semi Ojeyele | TD Bank Film Study",2021-05-20,1845,90,6,May
107,"Brad Stevens, Kemba Walker, Tristan Thompson and Jayson Tatum Media Availability | May 18, 2021",2021-05-19,1043,46,8,May
108,5/18 Putnam Postgame Report: Overcoming Obstacles,2021-05-19,2125,121,9,May
109,Kemba Walker FULL Highlights | 29 POINTS |  Celtics vs Wizards,2021-05-19,1125,40,3,May
110,Jayson Tatum FULL Highlights | 50 POINTS |  Celtics vs Wizards,2021-05-19,1059,75,8,May
111,"Boston Celtics vs Washington Wizards | FULL GAME HIGHLIGHTS | May 18, 2021",2021-05-19,926,49,11,May
112,"To the best fans in the league, we need you now more than ever ☘️",2021-05-19,1997,227,28,May
113,Aaron Nesmith & Payton Pritchard Wrap Up Their Regular Season | Lucky Rooks presented by New Balance,2021-05-17,6458,258,15,May
114,5/16 Putnam Postgame Report: Young Hoopers Showed Up,2021-05-16,1129,61,20,May
115,5/15 Putnam Postgame Report: ‘We Needed A Good Win’,2021-05-16,1214,63,8,May
116,Kevin Garnett's Full Hall of Fame Acceptance Speech,2021-05-15,15378,543,71,May
117,Celtics Players Share Nicknames For Their Teammates | Wingin' It with JetBlue,2021-05-14,9382,419,37,May
118,5/11 Putnam Postgame Report: Push Forward,2021-05-12,854,35,16,May
119,5/9 Putnam Postgame Report: Slow Start,2021-05-09,876,40,31,May
120,5/7 Putnam Postgame Report: ‘Their Size Was An Issue’,2021-05-08,911,54,11,May
121,5/5 Putnam Postgame Report: Walker’s Impact,2021-05-06,1830,110,11,May
122,SNHU Tech Lab Unveil,2021-05-04,574,52,3,May
123,Jayson Tatum Named Eastern Conference Player of the Week,2021-05-03,3700,200,26,May
124,5/2 Putnam Postgame Report: Turnovers Cost C’s Late,2021-05-03,975,42,9,May
125,4/30 Putnam Postgame Report: ‘Destined for Greatness’,2021-05-01,3699,234,29,May
126,Jaylen Brown Talks About Blocking Out The Noise | The Grind presented by Gatorade,2021-04-30,2600,180,23,Apr
127,Aaron Nesmith Breaks Down His Shooting Form and Hustle Plays | TD Bank Film Study,2021-04-29,3959,199,20,Apr
128,4/28 Putnam Postgame Report: ‘Igniting Inner Flame’,2021-04-29,1473,90,18,Apr
129,4/27 Putnam Postgame Report: Playing With More Urgency,2021-04-28,809,46,16,Apr
130,4/25 Putnam Postgame Report: Step Slow in Charlotte,2021-04-25,926,49,20,Apr
131,4/23 Putnam Postgame Report: Fournier’s Return,2021-04-24,1335,61,9,Apr
132,4/22 Putnam Postgame Report: Winning With Walker,2021-04-23,2097,136,25,Apr
133,Traditions (Re)defined Presented by Vistaprint,2021-04-21,1798,96,3,Apr
134,Celtics Players Answer The Question What Food Will You NOT Eat | Wingin' It with JetBlue,2021-04-21,15224,621,139,Apr
135,4/19 Putnam Postgame Report: Bulls Fight Back,2021-04-20,934,46,20,Apr
136,4/17 Putnam Postgame Report: Six Straight Wins,2021-04-18,5261,231,35,Apr
137,Brad Stevens Talks About the Addition of Jabari Parker,2021-04-17,5160,154,29,Apr
138,Road Trip Recap Presented By Audi: 3-0 On The West Coast,2021-04-16,3503,209,8,Apr
139,A Night To Remember For Jaylen Brown 🔥,2021-04-16,4038,325,15,Apr
140,4/15 Putnam Postgame Report: ‘That’s What I’m About’,2021-04-16,2346,113,20,Apr
141,View From The Rafters,2021-04-15,2414,75,13,Apr
142,Tacko Fall and Grant Willams Join Experts to Discuss the COVID-19 Vaccines and Healthcare Mistrust,2021-04-15,1113,44,12,Apr
143,4/13 Putnam Postgame Report: ‘Trending in the Right Direction’,2021-04-14,2748,156,15,Apr
144,Aaron Nesmith's Energy and Effort Earn Him A Role | Lucky Rooks presented by New Balance | Episode 3,2021-04-13,9022,230,31,Apr
145,BEST OF JAYSON TATUM | Eastern Conference Player of the Week 4/5/2021 to 4/12/2021,2021-04-12,15219,521,40,Apr
146,4/11 Putnam Postgame Report: Responding The Right Way,2021-04-11,3109,175,18,Apr
147,Which Celtics Player Would Win In A Dance Battle | Wingin' It with JetBlue,2021-04-10,16190,591,48,Apr
148,TD Bank Film Study: Offensive Rebounding,2021-04-10,1487,79,4,Apr
149,4/9 Putnam Postgame Report: ‘He’s a Competitor’,2021-04-10,2171,138,15,Apr
150,JBL Sounds of the Celtics: Keepin' It Rolling,2021-04-09,1357,91,16,Apr
151,4/7 Putnam Postgame Report: Showing Resolve,2021-04-08,1838,95,14,Apr
152,4/6 Putnam Postgame Report: Philly’s Physicality,2021-04-07,758,46,7,Apr
153,"Sounds of the Celtics presented by JBL | April 4, 2021",2021-04-05,2590,109,18,Apr
154,4/4 Putnam Postgame Report: Red-Hot Offense,2021-04-05,3485,158,16,Apr
155,4/2 Putnam Postgame Report: Time Lord’s Time,2021-04-03,3340,146,23,Apr
156,3/31 Putnam Postgame Report: Comeback Falls Short,2021-04-01,803,45,26,Apr
157,Future is Female Part 2 | Celebrate HERstory in partnership with New Balance,2021-03-31,408,31,11,Mar
158,Future is Female Part 1 | Celebrate HERstory in partnership with New Balance,2021-03-31,345,28,3,Mar
159,Women's History Month | Introducing the Women of the Maine Red Claws,2021-03-30,269,16,4,Mar
160,3/29 Putnam Postgame Report: Late Comeback,2021-03-30,969,55,13,Mar
161,Welcome Back Fans ☘️,2021-03-29,2602,251,51,Mar
162,3/29 Pregame Media Availability: Evan Fournier,2021-03-29,7148,144,36,Mar
163,3/27 Putnam Postgame Report: Momentum is Building,2021-03-28,2073,126,20,Mar
164,3/26 Putnam Postgame Report: Attack Mentality,2021-03-27,2381,130,22,Mar
165,Danny Ainge Talks the Boston Celtics' Trade Moves,2021-03-26,12596,219,127,Mar
166,3/24 Putnam Postgame Report: Second-Half Comeback,2021-03-25,1256,64,30,Mar
167,Women's History Month | Women of Color at the Boston Celtics,2021-03-25,352,29,8,Mar
168,3/22 Putnam Postgame Report: Building Blocks,2021-03-23,999,67,11,Mar
169,3/21 Putnam Postgame Report: Playing Connected,2021-03-21,1344,97,12,Mar
170,3/19 Putnam Postgame Report: Playing More Engaged,2021-03-20,1044,56,14,Mar
171,Making HERStory | Women Executives,2021-03-19,338,30,8,Mar
172,3/17 Putnam Postgame Report: Responding Too Late,2021-03-18,776,44,25,Mar
173,3/16 Putnam Postgame Report: ‘They Made Us Pay’,2021-03-17,772,53,23,Mar
174,3/14 Putnam Postgame Report: Confidence Boost,2021-03-15,2059,87,14,Mar
175,Payton Pritchard making his mark in the NBA | Lucky Rooks presented by New Balance | Episode 2,2021-03-13,11568,417,28,Mar
176,3/11 Putnam Postgame Report: The Return Of Smart,2021-03-12,1165,67,20,Mar
177,The Grind: Payton Pritchard on Getting Work in Daily,2021-03-09,5304,239,45,Mar
178,TD Bank Film Study: Marcus Smart on Creating Opportunities,2021-03-09,2076,147,25,Mar
179,"Brown, Tatum Shine on All-Star Sunday",2021-03-08,18286,560,35,Mar
180,3/7 Jaylen Brown All-Star Media Availability,2021-03-07,2363,141,33,Mar
181,3/7 Jayson Tatum All-Star Media Availability,2021-03-07,2895,176,21,Mar
182,3/4 Putnam Postgame Report: Staying The Course,2021-03-05,2201,152,12,Mar
183,3/2 Putnam Postgame Report: Brown’s Return,2021-03-03,2231,144,12,Mar
184,Celebrating Black History Month with the Celtics and TD Bank,2021-03-02,477,35,18,Mar
185,February 2021 Highlights | Celtics Mixtape presenced by JBL,2021-03-02,843,87,21,Mar
186,2/28 Putnam Postgame Report: Tatum’s Play,2021-03-01,3098,180,25,Mar
187,2/26 Putnam Postgame Report: ‘Walker Willed Us To a Win’,2021-02-27,1862,119,23,Feb
188,2/24 Putnam Postgame Report: Accountability,2021-02-25,1056,57,25,Feb
189,2/23 Putnam Postgame Report: ‘I’m Grateful’,2021-02-24,1159,55,19,Feb
190,2/21 Putnam Postgame Report: Closing Out Games,2021-02-22,1069,64,34,Feb
191,2/19 Putnam Postgame Report: Walker’s Impact,2021-02-20,1741,114,21,Feb
192,2/17 Putnam Postgame Report: Young’s Scoring Effort,2021-02-18,1112,60,12,Feb
193,2/16 Putnam Postgame Report: Nesmith Stays Ready,2021-02-17,1534,104,16,Feb
194,2/14 Putnam Postgame Report: Kemba Finds a Rhythm,2021-02-14,1369,82,35,Feb
195,The Grind: Tacko Fall On Staying Focused Through All The Attention,2021-02-14,2150,152,25,Feb
196,Happy Valentine's Day from the Boston Celtics | Wingin' It with JetBlue,2021-02-14,906,95,21,Feb
197,2/12 Putnam Postgame Report: Building Consistency,2021-02-13,1107,54,32,Feb
198,2/11 Putnam Postgame Report: ‘He’s A Reliable Guy’,2021-02-12,2100,125,14,Feb
199,An Unusual Introduction to the NBA | Lucky Rooks presented by New Balance | Episode 1,2021-02-11,7574,345,23,Feb
200,2/9 Putnam Postgame Report: Brown’s Return,2021-02-10,1183,70,17,Feb
201,2/7 Putnam Postgame Report: Strong Defense,2021-02-07,1064,60,13,Feb
202,2/5 Putnam Postgame Report: ‘We Stuck Together’,2021-02-06,1948,121,11,Feb
203,"Game Preview presented by NBC Sports Boston | February 5, 2021",2021-02-06,430,33,10,Feb
204,2/3 Putnam Postgame Report: ‘The Effort Was There’,2021-02-04,1357,71,23,Feb
205,2/2 Putnam Postgame Report: Setting The Tone,2021-02-03,1685,108,12,Feb
206,JBL Sounds of the Celtics: Expect the Unexpected,2021-02-01,1666,118,17,Feb
207,1/30 Putnam Postgame Report: A Fight to the Finish,2021-01-31,1798,92,35,Jan
208,1/27 Putnam Postgame Report: Looking for Energy,2021-01-28,1303,70,16,Jan
209,1/27 Putnam Pregame Interview: Discipline and Detail,2021-01-28,810,61,9,Jan
210,1/25 Putnam Postgame Report: Tatum’s Return,2021-01-26,2862,163,17,Jan
211,JBL Sounds of the Celtics: Look Forward to the Challenge,2021-01-25,2009,104,10,Jan
212,1/24 Putnam Postgame Report: Returning to Our Standard,2021-01-25,1076,80,12,Jan
213,"1/22 Putnam Postgame Report: ‘I Can Do More, I Will Do More’",2021-01-23,1758,96,27,Jan
214,1/20 Putnam Postgame Report: Staying Focused,2021-01-21,1314,76,19,Jan
215,1/17 Putnam Postgame Report: Kemba is Pain-Free,2021-01-17,1999,96,27,Jan
216,1/15 Putnam Postgame Report: ‘We Missed Each other’,2021-01-16,3411,192,12,Jan
217,1/14 New Balance Practice Report: A Season Of Curveballs,2021-01-14,4265,163,31,Jan
218,Boston Scientific Boys and Girls Club Renovation,2021-01-13,919,51,11,Jan
219,Jayson Tatum Named Eastern Conference Player of the Week,2021-01-11,26723,946,126,Jan
220,1/8 Putnam Postgame Report: ‘I Know I Belong’,2021-01-09,7179,349,47,Jan
221,Back Home After Four Game Road Trip ☘️,2021-01-08,4325,236,48,Jan
222,Celtics Team Up With Jack's Abby For A New Beer: Pride and Parquet,2021-01-08,1545,76,18,Jan
223,1/6 Putnam Postgame Report: A Voice For The Voiceless,2021-01-07,1767,163,43,Jan
224,1/4 Putnam Postgame Report: No Excuses,2021-01-05,3138,163,25,Jan
225,1/3 Putnam Postgame Report: Brown Is NBA’s Leading Scorer,2021-01-04,4249,238,61,Jan
226,1/3 Putnam Pregame Interview: ‘We’ll Be Ready’,2021-01-03,1281,61,20,Jan
227,1/1 Putnam Postgame Report: Playing Catchup,2021-01-02,1550,69,41,Jan
228,12/30 Putnam Postgame Report: Brown Caught Fire,2020-12-31,2869,166,30,Dec
229,12/29 Putnam Postgame Report: ‘Payton Pritchard Is The Goat’,2020-12-30,11524,353,71,Dec
230,12/27 Putnam Postgame Report: Playing Catch-Up,2020-12-28,1414,67,28,Dec
